iter	Passed	Remaining
0	147	147081
1	149	74512
2	151	50371
3	153	38197
4	155	30857
5	157	26010
6	158	22544
7	160	19951
8	162	17911
9	164	16253
10	166	15003
11	168	13864
12	169	12888
13	171	12071
14	172	11351
15	174	10736
16	176	10180
17	177	9692
18	178	9231
19	180	8825
20	182	8490
21	183	8166
22	185	7863
23	186	7589
24	188	7350
25	190	7127
26	192	6920
27	193	6728
28	195	6534
29	196	6355
30	197	6184
31	199	6021
32	200	5873
33	202	5741
34	203	5614
35	205	5502
36	207	5389
37	208	5279
38	209	5170
39	211	5072
40	212	4975
41	213	4877
42	215	4786
43	216	4704
44	218	4628
45	219	4558
46	221	4485
47	222	4415
48	224	4347
49	225	4284
50	226	4221
51	228	4159
52	229	4099
53	230	4044
54	232	3995
55	234	3950
56	235	3901
57	237	3855
58	238	3805
59	239	3758
60	241	3714
61	242	3670
62	243	3625
63	245	3584
64	246	3549
65	248	3513
66	249	3478
67	251	3443
68	252	3403
69	253	3367
70	254	3333
71	256	3300
72	257	3266
73	258	3233
74	259	3201
75	260	3171
76	262	3145
77	264	3122
78	265	3096
79	266	3069
80	268	3041
81	269	3014
82	270	2983
83	271	2955
84	272	2928
85	273	2901
86	273	2875
87	275	2850
88	276	2829
89	277	2808
90	279	2789
91	280	2767
92	281	2746
93	282	2724
94	283	2701
95	284	2680
96	285	2658
97	286	2637
98	287	2616
99	288	2596
100	289	2576
101	290	2557
102	291	2539
103	293	2525
104	294	2511
105	296	2497
106	297	2480
107	298	2463
108	299	2450
109	301	2435
110	301	2418
111	302	2402
112	304	2386
113	304	2370
114	306	2356
115	307	2343
116	308	2330
117	310	2318
118	311	2306
119	312	2292
120	313	2278
121	314	2266
122	315	2252
123	316	2239
124	317	2225
125	318	2211
126	319	2197
127	320	2186
128	322	2177
129	324	2168
130	325	2158
131	326	2149
132	327	2136
133	328	2126
134	330	2116
135	331	2104
136	332	2093
137	333	2082
138	334	2070
139	335	2059
140	336	2050
141	337	2038
142	338	2030
143	340	2021
144	341	2013
145	342	2003
146	343	1994
147	345	1986
148	346	1976
149	347	1967
150	348	1957
151	349	1947
152	350	1937
153	351	1929
154	352	1921
155	353	1914
156	355	1907
157	356	1899
158	357	1891
159	358	1882
160	359	1872
161	360	1865
162	361	1856
163	362	1848
164	363	1840
165	364	1832
166	366	1826
167	367	1820
168	369	1814
169	370	1809
170	371	1803
171	372	1795
172	374	1789
173	375	1782
174	376	1775
175	377	1768
176	379	1762
177	380	1757
178	382	1752
179	383	1748
180	385	1743
181	386	1738
182	387	1731
183	388	1724
184	390	1718
185	391	1712
186	392	1705
187	393	1698
188	394	1691
189	395	1684
190	396	1679
191	397	1674
192	399	1669
193	400	1664
194	401	1658
195	402	1652
196	403	1646
197	405	1640
198	406	1634
199	406	1627
200	407	1621
201	408	1615
202	409	1609
203	411	1603
204	412	1599
205	413	1594
206	415	1590
207	416	1585
208	417	1579
209	418	1574
210	419	1569
211	420	1564
212	422	1559
213	423	1553
214	424	1548
215	425	1543
216	426	1539
217	427	1534
218	429	1531
219	430	1527
220	432	1522
221	433	1517
222	434	1513
223	435	1509
224	436	1504
225	437	1499
226	438	1494
227	439	1489
228	441	1485
229	442	1481
230	443	1476
231	445	1474
232	446	1469
233	447	1464
234	448	1460
235	449	1455
236	450	1451
237	451	1446
238	452	1441
239	453	1437
240	454	1432
241	456	1429
242	457	1425
243	459	1422
244	460	1419
245	461	1414
246	462	1410
247	463	1405
248	464	1402
249	465	1397
250	466	1393
251	468	1389
252	469	1384
253	470	1380
254	471	1377
255	472	1373
256	474	1370
257	475	1367
258	476	1363
259	477	1359
260	478	1355
261	480	1352
262	481	1348
263	482	1344
264	483	1339
265	484	1335
266	485	1331
267	486	1328
268	487	1324
269	488	1321
270	490	1318
271	491	1315
272	492	1311
273	493	1307
274	494	1304
275	495	1300
276	496	1296
277	497	1292
278	498	1289
279	499	1285
280	501	1282
281	502	1279
282	503	1276
283	505	1273
284	506	1270
285	507	1267
286	508	1264
287	510	1261
288	511	1258
289	512	1254
290	513	1250
291	514	1247
292	515	1243
293	516	1240
294	518	1238
295	519	1235
296	521	1233
297	522	1230
298	523	1226
299	524	1223
300	525	1220
301	526	1217
302	527	1213
303	528	1210
304	529	1207
305	531	1205
306	533	1203
307	534	1201
308	536	1199
309	537	1196
310	538	1193
311	539	1190
312	541	1187
313	542	1184
314	543	1181
315	544	1177
316	545	1174
317	546	1171
318	547	1168
319	548	1166
320	550	1164
321	551	1161
322	552	1158
323	553	1155
324	554	1152
325	556	1151
326	558	1149
327	561	1149
328	563	1149
329	565	1147
330	566	1145
331	568	1143
332	569	1140
333	570	1137
334	571	1135
335	572	1132
336	573	1129
337	574	1126
338	576	1123
339	577	1121
340	578	1118
341	580	1116
342	581	1114
343	582	1111
344	583	1108
345	585	1105
346	586	1102
347	586	1099
348	587	1096
349	588	1093
350	589	1090
351	590	1087
352	592	1085
353	593	1082
354	594	1080
355	596	1078
356	597	1075
357	598	1072
358	599	1070
359	600	1068
360	601	1065
361	602	1062
362	603	1059
363	604	1056
364	605	1054
365	607	1051
366	608	1049
367	609	1047
368	611	1044
369	612	1042
370	613	1039
371	614	1036
372	615	1034
373	616	1032
374	617	1029
375	618	1026
376	619	1023
377	620	1021
378	621	1019
379	623	1016
380	624	1014
381	625	1012
382	626	1010
383	628	1007
384	629	1005
385	630	1003
386	631	1000
387	632	997
388	633	995
389	634	992
390	635	989
391	636	987
392	638	985
393	639	983
394	640	981
395	641	979
396	642	976
397	644	974
398	645	972
399	646	969
400	647	967
401	648	964
402	649	962
403	650	959
404	651	957
405	653	955
406	654	953
407	655	951
408	656	949
409	657	946
410	658	944
411	660	942
412	661	939
413	662	937
414	663	934
415	664	932
416	665	930
417	666	927
418	667	925
419	669	923
420	670	922
421	671	919
422	672	917
423	673	915
424	674	912
425	675	910
426	676	908
427	677	906
428	678	903
429	679	901
430	680	898
431	682	896
432	683	894
433	684	892
434	686	891
435	687	889
436	688	886
437	689	884
438	690	882
439	691	880
440	692	878
441	693	875
442	694	873
443	695	871
444	696	868
445	697	866
446	699	865
447	700	863
448	701	861
449	702	859
450	703	856
451	705	854
452	706	852
453	707	850
454	708	848
455	709	846
456	710	843
457	711	841
458	712	839
459	713	838
460	715	836
461	716	834
462	717	832
463	718	830
464	719	828
465	720	826
466	722	824
467	723	822
468	724	820
469	725	817
470	726	815
471	727	813
472	729	812
473	730	810
474	731	808
475	732	806
476	733	804
477	734	802
478	735	800
479	736	797
480	737	795
481	738	793
482	739	791
483	740	789
484	741	787
485	742	785
486	744	784
487	746	783
488	748	781
489	749	780
490	750	778
491	751	776
492	752	774
493	754	772
494	754	770
495	755	768
496	757	766
497	758	764
498	759	763
499	761	761
500	762	759
501	763	756
502	764	754
503	765	752
504	765	750
505	766	748
506	767	746
507	769	744
508	770	742
509	771	741
510	772	739
511	774	737
512	775	736
513	776	734
514	777	732
515	778	730
516	780	728
517	781	726
518	782	724
519	783	722
